name,temperature,luminosity,spectral_type,distance,magnitude
"HD 370372",18540,2.76005,"B8V",231.7,7.91
"HIP 98347",3118,169.796153,"M9III",759.8,6.11
"HD 884955",16479,1.586707,"B0V",523.7,10.25
"HD 647678",13797,0.154609,"B9V",996.8,14.23
"HD 994191",3839,0.000283,"K9V",928.1,20.92
"HD 389925",9513,0.024105,"A1V",959.6,16.12
"HD 579390",5278,0.000489,"G8V",573.3,19.57
"HD 430292",14649,0.255784,"B8V",816.1,13.42
"HD 842673",30965,12401.094157,"O8Ia",703.3,1.49
"HIP 94577",4174,125.346001,"K8III",668.1,5.9
"HD 798175",5886,0.001664,"G5V",867.1,18.9
"HIP 100074",4780,180.870901,"K8III",191.4,3.14
"HD 777346",2513,0.000238,"M9V",952.3,21.19
"WD 1092+853",11054,0.000262,"DA4",334.5,19.01
"WD 1669+617",10947,0.001101,"DA4",943.1,19.29
"HD 143047",24434,406.471553,"B8III",874.6,5.51
"HD 479095",6269,0.000628,"F5V",994.6,20.21
"HD 722659",8485,0.003221,"DA5",198.4,15.03
"HD 296930",2672,0.000182,"M7V",998.7,21.6
"HD 734368",14290,0.305064,"B6V",824.5,13.07
"HD 989686",2507,0.000116,"M3V",400,19.99
"HD 714693",13600,0.144625,"B4V",732,13.76
"HD 125671",6786,0.002165,"F8V",682.6,18.08
"WD 2892+820",11600,0.000601,"DA4",127.3,15.84
"HD 795903",13419,0.127373,"B7V",732,13.83
"HD 525894",3729,0.000276,"K3V",995.5,21.33
"HD 182587",7081,0.004271,"F8V",908.7,17.76
"HD 735572",26707,1427.258323,"B5III",566.4,3.01
"HIP 79399",4631,486.395967,"K7III",684.1,5.04
"HD 240540",13925,0.239577,"B9V",854.9,13.43
"HD 503910",5081,0.000737,"K6V",541.2,18.73
"WD 2983+442",22082,0.000115,"DA2",519.4,20.77
"HD 414223",10049,0.007375,"DA5",843.5,17.33
"WD 1929+814",15365,0.004191,"DA3",932.8,18.02
"HD 656890",34139,172150.238099,"O3Ib",443.6,-2.44
"TYC 2629-908-1",4018,85960.252129,"K4Ib",509.5,-1.54
"HD 144820",18724,10.497195,"B2IV",714.1,9.09
"HD 523585",2979,0.000132,"M2V",633.5,21
"HD 268678",28292,4165.795222,"B9III",835.8,2.92
"HD 489017",26778,976.650147,"B5III",943.5,4.62
"HD 282391",28985,10853.741125,"B6Ib",421.1,0.21
"HD 914004",2788,0.000111,"M5V",554.2,20.9
"HD 393849",30253,10873.185806,"O8Ia",420.9,0.26
"HD 734586",25689,390.147018,"B9III",677.3,5.01
"HD 809167",7703,0.001318,"A9V",870.8,19.26
"HD 978839",3375,0.000055,"M1V",965.5,22
"HD 722577",29667,8829.985353,"B6III",877.9,1.95
"HD 571408",12220,0.104944,"B9V",701.7,14
"WD 3948+156",15740,0.000421,"DA3",851.2,20.37
"HD 708564",6290,0.002903,"F3V",973.8,18.42
"HD 873867",5631,0.00063,"G4V",575.3,19.07
"HD 486630",18092,5.945785,"B5V",263.9,7.5
"HD 563048",9400,0.017524,"A2V",926.5,16.53
"HD 384027",6645,0.000923,"F1V",844.1,19.44
"WD 4948+977",15610,0.000705,"DA3",299.6,17.32
"HD 344775",23357,60.957348,"B0IV",800.1,7.23
"HD 815955",6174,0.001401,"F0V",615.2,18.5
"HD 682246",21226,17.153909,"B9IV",783.8,8.72
"HD 380697",4337,0.000105,"K1V",623.9,21.28
"HD 845414",15024,0.727502,"B4V",530.2,11.42
"HIP 75601",4449,55.49556,"K7IV",916.9,7.92
"WD 9947+197",9340,0.001561,"DA5",625.4,18.23
"TYC 7568-124-1",7169,111630.946452,"F1Ia",617.4,-1.43
"HD 873398",9284,0.005259,"DA5",368.5,15.92
"HD 997037",3444,0.000206,"M0V",737.9,20.73
"HD 826622",10795,0.030154,"B1V",906.2,15.82
"HD 690532",28202,1084.011334,"B0III",849.8,4.18
"HD 583219",10104,0.017388,"B8V",258.5,13.77
"HD 276411",31170,10241.702191,"O4Ia",565.3,0.96
"HD 868675",5358,0.000863,"G3V",973.1,19.74
"HD 339580",7844,0.004975,"A4V",105.6,13.22
"WD 8044+325",12579,0.001103,"DA4",804,19.36
"HIP 55986",3719,69.758898,"K9IV",702.4,6.9
"HD 639681",11928,0.047018,"B1V",811.8,15.2
"HD 680732",12496,0.088127,"B4V",956.2,14.86
"HD 537654",3460,0.000275,"M0V",774.9,20.61
"HD 664434",24879,208.480273,"B8III",886.7,6.2
"HD 289653",6341,0.000965,"F6V",815.1,19.19
"HD 225853",8885,0.007699,"DA5",376.8,15.49
"HD 963039",9490,0.008072,"DA5",410.3,15.41
"HD 568738",9566,0.031871,"A6V",840.1,15.73
"HD 395303",9137,0.020004,"A9V",733.6,15.87
"HD 643937",18023,1.756234,"B6V",367.7,9.48
"HD 857232",29482,3512.70196,"B7III",548.5,2.08
"HD 368516",33521,101745.862331,"O3Ia",990.4,-0.21
"HD 498354",31863,30511.870441,"O9Ib",277.3,-1.77
"HD 416708",24476,320.707512,"B5III",585.5,4.66
"HD 771753",33262,170242.577423,"O9Ib",697.2,-1.5
"HD 811482",8207,0.003383,"DA6",529.6,17.3
"HD 482935",6663,0.002676,"F9V",684.4,17.97
"HD 532089",25428,472.986076,"B0III",826.5,5.21
"HIP 5673",3793,191.959641,"K2III",807.6,5.91
"HD 547506",10955,0.068459,"B8V",438.9,13.18
"HD 463857",3477,0.000103,"M5V",957.2,22
"HD 410368",13736,0.242058,"B6V",939,13.76
"HD 941843",17708,2.373496,"B1V",516,9.96
"HD 426544",8809,0.009465,"DA5",896.3,17.07
"HD 682296",29874,14834.121105,"B9Ib",650.7,1.01
"WD 5531+191",23018,0.00059,"DA2",658.2,19.36
"HD 395338",9522,0.038825,"A4V",86.3,10.32
"HD 486700",22145,78.034868,"B3IV",914.8,7.12
"HD 689206",14451,0.177128,"B0V",788.4,13.42
"HD 134764",5933,0.000669,"G6V",873.7,20.13
"HD 850536",5442,0.00052,"G6V",615.6,19.45
"HD 511730",13211,0.148641,"B3V",716,13.58
"HD 493185",8463,0.007984,"DA5",575.6,16.31
"WD 8956+897",14252,0.000478,"DA3",953.5,20.49
"HD 900541",19957,26.301261,"B5IV",897.3,8.49
"HD 244610",19288,7.966053,"B3V",344.6,7.68
"HD 488359",7854,0.001829,"A2V",839.4,18.72
"TYC 7697-933-1",15688,47088.86755,"B2Ia",492.7,-0.86
"HD 740974",5083,0.000238,"K7V",598,20.09
"HD 326318",10661,0.033249,"B1V",362.2,13.77
"HD 797544",20550,9.368475,"B5V",433.3,8
"HIP 20773",3748,284.915667,"K9III",757.1,5.47
"HIP 38190",4553,103.725743,"K4III",877,6.81
"HD 441150",30069,27422.930558,"O0Ib",404.3,-0.77
"HD 788563",21328,49.61241,"B4IV",856,7.78
"HD 423081",18091,1.864007,"B6V",954,11.53
"HIP 89918",3184,1117.606176,"M2III",558.5,3.41
"HD 666944",3209,0.000082,"M0V",191.4,18.69
"HD 777846",23264,68.817337,"B9IV",836.1,7.3
"HD 980871",6388,0.001262,"F0V",639.9,18.56
"HD 873888",2898,0.000686,"M7V",815.1,19.82
"HD 507778",26731,1118.977228,"B5III",318.2,2.04
"HD 711190",28317,5460.511852,"B8III",785.1,2.53
"WD 6239+497",12738,0.000805,"DA3",408.6,18.08
"HD 797069",30221,4963.775763,"O0III",812.2,2.67
"HIP 41420",4084,223.281915,"K9III",656.5,5.67
"HD 779673",7073,0.002806,"F1V",883.9,18.27
"HD 921467",3185,0.000294,"M7V",289.2,18.35
"HD 161840",5402,0.001272,"G8V",571.6,18.16
"HD 847114",11583,0.022646,"B5V",470.5,14.51
"HD 141045",3555,0.000117,"M2V",415.4,20.13
"HD 849031",9992,0.07185,"A6V",542,13.88
"HD 411833",31186,8679.132307,"O3III",704,1.74
"HD 702170",5582,0.002066,"G7V",930.9,18.83
"HD 645582",6393,0.004191,"F0V",477.7,16.56
"HIP 86809",3741,74.305605,"K1IV",356.2,5.49
"HD 475440",13946,0.24106,"B0V",576.6,12.47
"HD 321483",4864,0.000518,"K0V",647.8,19.76
"HD 157711",24228,182.585681,"B1III",204.9,2.97
"HD 234483",19249,11.4315,"B7IV",923.6,9.59
"HD 901180",23211,250.551808,"B8III",833.1,5.64
"WD 8772+797",10988,0.000925,"DA4",538,18.6
"HD 275454",2500,0.000069,"M3V",566.3,21.31
"HD 815330",15116,0.266606,"B6V",518.1,12.33
"HD 692170",12132,0.053628,"B1V",634.3,14.44
"HD 307902",27090,929.635735,"B5III",669.7,3.96
"HD 988967",22921,392.694692,"B4III",763.4,5.2
"HD 420967",34823,269401.722112,"O3Ia",968.2,-1.44
"HD 204807",2694,0.000051,"M7V",900,22
"HD 165319",5997,0.001704,"G3V",708.4,18.22
"HD 432351",22998,36.716433,"B6IV",716.5,7.65
"HD 990687",15180,0.49762,"B3V",789.4,12.6
"HD 394884",31299,38614.506977,"O7Ib",514.7,-0.64
"HIP 107080",3631,189.614201,"M7III",155.2,2.52
"HD 412614",2834,0.000072,"M1V",788.8,22
"HD 611782",29689,8244.184231,"B3III",927,2.27
"HD 715831",2500,0.000065,"M4V",445.6,21.05
"HD 704702",29833,14085.444096,"B4Ia",739.4,1.16
"HD 914591",18267,2.647856,"B8V",825.7,10.83
"HD 443070",3780,0.000193,"K5V",842.5,21.2
"HD 530256",2603,0.000064,"M1V",790.3,22
"WD 4318+823",15238,0.00065,"DA3",800.6,19.72
"HD 795284",2558,0.000109,"M3V",792.2,21.6
"HD 544143",14738,0.485777,"B9V",470.7,11.27
"HD 748978",24369,162.184024,"B5III",831.1,6.36
"HD 888973",26104,1295.274404,"B2III",785.5,3.93
"HD 136992",32297,18350.722254,"O4Ia",915.4,1.38
"TYC 9057-228-1",13452,33981.146677,"B1Ia",579.1,-0.26
"HIP 117164",4766,376.201135,"K1III",831.6,5.42
"HD 483366",13159,0.042807,"B6V",644.7,14.78
"HIP 62185",4076,258.737027,"K7III",399.9,4.29
"HIP 8662",4975,81.774703,"K1IV",385.5,5.33
"HD 123442",5169,0.000565,"K6V",713.7,19.65
"HD 638270",19963,5.417937,"B3V",385.2,8.36
"HD 930835",4451,0.000463,"K2V",575.8,19.43
"HD 512156",2922,0.000461,"M2V",624.8,19.59
"HD 156153",31602,29831.642356,"O3Ia",922.5,0.9
"WD 1697+674",16322,0.000294,"DA3",924.1,20.94
"HD 139974",7098,0.004046,"F6V",743.6,17.8
"HD 686135",22069,82.844049,"B5IV",724,6.75
"HD 508836",29092,5509.328484,"B0III",931.3,2.74
"HD 140144",3078,0.000212,"M1V",63.3,15.26
"HD 385239",27497,1586.715282,"B7III",857.1,3.86
"HD 105515",32249,56923.857477,"O1Ia",899.2,0
"HD 537459",2830,0.000102,"M9V",889,22
"HD 613745",6833,0.001949,"F0V",803.7,18.66
"HD 997933",12702,0.028816,"B7V",619.5,15.1
"HD 808488",2725,0.000373,"M8V",522,19.4
"HD 642895",3205,0.000155,"M6V",882.8,21.35
"HD 618474",8606,0.002966,"DA5",356.9,16.3
"HD 119313",27411,1562.938639,"B2III",597,3.29
"HD 431197",31919,13303.856154,"O4Ia",309.7,-0.43
"HD 948530",17179,1.052181,"B6V",586.9,10.92
"HD 736327",28735,20246.066187,"B5Ib",918.5,1.22
"HD 379993",17232,2.803931,"B4V",945.1,11.21
"WD 9065+673",17454,0.000517,"DA2",652.9,19.49
"HD 809978",26901,2476.591956,"B5III",631.7,2.76
"WD 9586+679",14406,0.00085,"DA3",859.4,19.66
"HIP 19095",4760,30.947376,"K4IV",424.6,6.63
"HIP 26615",4806,247.209542,"K7III",608.3,5.14
"HIP 75965",4351,365.415266,"K6III",639.2,4.83
"HD 870120",20437,27.090326,"B7IV",919.9,8.45
"HD 442986",3085,0.000356,"M6V",58.8,14.59
"HD 755474",10613,0.017053,"B8V",464.5,15.14
"HIP 16018",4375,42.862017,"K1IV",797.2,7.63
"HD 208810",33085,150238.023506,"O8Ib",955.9,-0.98
"HD 227865",12292,0.109188,"B4V",899.7,14.43
"HD 361190",3821,0.000118,"K0V",595,20.86
"WD 5246+701",23112,0.000219,"DA2",871.4,21.19
"HD 410045",3601,0.000453,"M5V",717.3,19.86
"HD 591042",20885,34.505765,"B0IV",534.3,7.15
"HD 204209",10357,0.012448,"B2V",771.4,16.5
"HD 491751",32740,75344.49475,"O7Ib",542.6,-1.37
"WD 9733+329",18139,0.000578,"DA2",834.9,20.01
"HD 737658",11640,0.040891,"B8V",580.1,14.43
"HD 795334",24459,157.977118,"B4III",943.4,6.76
"HD 962401",12432,0.161757,"B5V",238,11.21
"HD 923299",3780,0.000265,"K1V",940.7,21.2
"WD 5024+848",12697,0.000485,"DA3",835.9,20.27
"HD 702311",26731,720.600508,"B4III",262.7,2.06
"HD 260426",29975,7348.428264,"B8III",931.1,2.61
"HIP 70214",3561,155.557835,"M7III",475.2,5.17
"HD 574720",26007,1063.781976,"B5III",884.3,4.59
"HD 602215",4591,0.000346,"K0V",892.8,20.73
"HIP 23492",3106,594.862115,"M0III",813.4,4.94
"HIP 20940",3390,97.540626,"M2IV",301.8,4.75
"HD 157433",10021,0.028535,"B5V",700.8,15.39
"HIP 69037",4474,404.70379,"K4III",763.7,5.34
"HD 103949",19288,4.846911,"B5V",697.3,9.81
"HD 642906",9658,0.054972,"A7V",916.7,15.42
"WD 1485+810",10617,0.000462,"DA4",957.6,20.59
"HD 615786",23935,254.177905,"B5III",239.9,3.11
"HD 301702",9473,0.012697,"A5V",725.4,16.25
"WD 2648+616",7858,0.000949,"A7V",672.6,18.9
"HIP 32918",4458,466.809509,"K4III",466.5,3.99
"HD 793617",5710,0.000653,"G5V",896.3,19.95
"HD 585643",2551,0.000133,"M7V",747.3,21.1
"HD 436750",20024,16.284794,"B1IV",837.5,8.76
"HD 348886",22550,273.024692,"B4III",870.2,5.93
"HD 458601",19720,10.874204,"B6IV",364.9,7.18
"HD 631104",10190,0.044031,"B9V",757,15.04
"HD 866325",9772,0.027249,"A8V",792.6,15.7
"HD 961419",3589,0.001023,"M2V",754.7,18.92
"HD 666311",3198,0.000287,"M5V",327.2,18.75
"HD 999954",24708,746.45585,"B6III",833.2,4.79
"HD 696394",4790,0.000325,"K0V",699.7,20.16
"TYC 9965-667-1",20993,150406.857146,"B9Ib",432.1,-2.57
"WD 6628+691",21177,0.002543,"DA2",997,18.67
"HIP 85282",4430,296.952108,"K9III",253,3.01
"HD 167656",20367,26.477199,"B3IV",664.6,7.97
"HIP 62401",3767,93.368369,"K4IV",881.3,7.03
"HD 208628",9322,0.024484,"A8V",936.2,16.35
"HD 822629",6736,0.003002,"F1V",515.6,16.9
"HD 653910",5330,0.000354,"G9V",480.9,19.18
"HD 521309",6231,0.001966,"F0V",111.7,14.29
"HIP 64028",3005,92.471363,"M4IV",623,6.26
"HIP 107828",4487,179.391403,"K5III",441,4.84
"HD 980846",7164,0.00255,"F9V",906.9,18.58
"HD 808965",17675,2.311358,"B1V",802.3,10.9
"HD 637625",32839,55624.746208,"O4Ib",638.1,-0.44
"HD 711684",15873,2.026888,"B2V",556.8,10.44
"HD 747159",2511,0.000093,"M5V",775,21.82
"TYC 7748-891-1",21472,58621.107276,"B1Ib",192.2,-3
"HD 787392",24894,423.15949,"B4III",604.9,4.69
"HD 849597",7265,0.002759,"F7V",934.7,18.56
"HD 420212",7130,0.001497,"F5V",693,18.6
"HD 322997",2819,0.000331,"M3V",453,19.28
"HD 966065",30506,15950.666181,"O9Ib",772.2,1.13
"HIP 42389",3808,685.091577,"K0III",472.9,3.69
"HD 943296",2557,0.000161,"M5V",853.5,21.41
"HD 107823",21729,50.776111,"B9IV",707.3,7.31
"WD 3058+987",24831,0.00051,"DA2",393.8,18.42
"HD 308946",29749,8023.345191,"B3III",953.8,2.43
"HD 189989",6908,0.001217,"F1V",638.3,18.61
"HD 761118",5235,0.000242,"G6V",250.5,18.43
"HIP 61739",4748,159.158792,"K5III",826.7,6.43
"HD 810085",10267,0.010538,"B7V",381.5,15.04
"HD 474840",2757,0.000141,"M5V",306.9,19.22
"HD 303091",15408,0.478187,"B8V",643.4,12.23
"HIP 69584",4290,422.148084,"K7III",338.2,3.47
"HD 378682",9622,0.00926,"DA5",212.1,14.14
"HD 458894",10280,0.027809,"B0V",558,14.8
"HD 752475",30031,10543.367949,"O7Ia",858.5,1.9
"HD 359873",19839,5.27261,"B9V",201.2,6.83
"HIP 63702",3323,160.856239,"M7III",271.8,3.97
"HD 168719",15350,0.577753,"B3V",582.5,11.6
"HD 451688",25686,350.772447,"B3III",953.8,5.86
"HD 968220",23529,187.539887,"B6III",979.3,6.55
"WD 3067+649",7629,0.000382,"A2V",902.6,20.58
"WD 2890+149",12988,0.001214,"DA3",366.2,17.41
"HIP 94248",3577,181.731401,"M5III",985.3,6.5
"HD 207175",7439,0.002858,"F6V",198,15.21
"HD 913051",20607,21.230714,"B7IV",613,7.83
"HD 920883",12182,0.057712,"B4V",897.7,14.96
"HD 331815",8772,0.005474,"DA5",706.9,17.13
"HD 493779",14824,0.347714,"B7V",854.6,12.96
"HD 380750",22909,291.242395,"B0III",910.1,6.07
"HD 137769",24870,395.061063,"B7III",843.9,5.33
"HIP 58654",3521,62.277486,"M3IV",433.7,5.91
"HD 808046",28801,7567.183625,"B4III",876.8,2.21
"HD 848374",2958,0.000171,"M8V",636.3,20.78
"HD 801733",2645,0.000153,"M4V",985.5,21.83
"HD 368627",3085,0.000128,"M3V",914.2,21.7
"HIP 52122",3975,772.706077,"K2III",533.6,3.74
"HD 848258",2795,0.000164,"M8V",907,21.68
"WD 1776+232",16446,0.003076,"DA3",510,17.11
"HD 557936",28609,4986.764023,"B9III",587,1.9
"HD 125354",27416,2678.401196,"B4III",613.1,2.44
"HD 373409",32410,67843.450207,"O2Ib",588.7,-0.91
"HD 957440",10983,0.036599,"B8V",929.1,15.64
"WD 5684+330",10368,0.000475,"DA4",860.4,20.26
"HD 595480",5115,0.000241,"K7V",728.4,20.52
"WD 4126+412",8321,0.000202,"DA6",665.4,20.75
"HD 959720",8170,0.006792,"DA6",603.2,16.55
"HD 396987",20434,29.273132,"B0IV",257.6,5.73
"HD 583833",12694,0.080767,"B4V",696.8,14.21
"HD 550395",3881,0.000399,"K1V",683.6,20.09
"HD 875272",19337,7.752075,"B5V",910.9,10.01
"HD 296261",3336,0.000277,"M4V",496.4,19.59
"HIP 119954",4343,225.8812,"K7III",683.8,5.37
"HD 585788",4273,0.000398,"K5V",654.3,19.77
"HD 146115",4042,0.00037,"K7V",397.8,18.9
"HIP 32821",3766,101.454974,"K7III",291.9,4.58
"HD 515871",2621,0.000075,"M4V",151.5,18.58
"HD 669898",17979,2.899487,"B9V",531.3,9.69
"HIP 73065",4868,44.973414,"K2IV",911.4,8.03
"HD 958786",4230,0.000181,"K6V",887.4,21.25
"HIP 93372",3485,235.548555,"M5III",653.2,5.39
"WD 9364+471",19839,0.001069,"DA2",389.3,17.61
"WD 2920+604",11080,0.001374,"DA4",159.5,15.43
"HD 842009",2521,0.000042,"M1V",664.9,22
"HD 548868",17208,1.487021,"B6V",950.8,11.66
"HD 817781",3731,0.000449,"K8V",764.4,20.12
"HD 432926",4022,0.000305,"K3V",868.7,20.8
"HD 518050",8515,0.009612,"DA5",622.6,16.28
"HD 796765",3035,0.00013,"M3V",313.2,19.33
"HD 581083",27768,2662.894364,"B7III",581.1,2.31
"HD 286958",21418,104.808379,"B1III",360,5.04
"HD 482347",2818,0.000077,"M7V",433.7,20.63
"HD 729345",15883,0.903573,"B1V",664.8,11.39
"WD 7841+178",17831,0.000222,"DA2",358.8,19.09
"HIP 2438",3356,200.993703,"M4III",645.2,5.36
"HD 392447",2516,0.000049,"M5V",432,21.15
"HD 418335",25059,421.779393,"B2III",926.3,5.41
"HD 756241",20557,11.17798,"B6IV",713,8.81
"HD 147763",3654,0.000114,"M4V",826.6,21.77
"HD 615688",25789,833.135708,"B7III",543,3.49
"HD 779494",8288,0.006452,"DA6",853.7,17.43
"HD 872092",14182,0.13034,"B3V",484.9,12.87
"HD 470366",4213,0.000611,"K6V",934.4,20
"HD 973894",9012,0.004323,"DA5",154.2,14.08
"HD 535266",21876,10.270343,"B9IV",525.8,8.19
"HD 596020",3716,0.00009,"K2V",202,18.9
"HD 470602",15606,0.811265,"B5V",793.2,12.03
"HD 874173",10595,0.019136,"B3V",910.1,16.24
"HIP 95964",5085,24.364717,"K2IV",341.7,6.48
"HIP 24782",4402,101.364885,"K1III",891.2,6.96
"HD 553436",4780,0.00019,"K5V",577.4,20.41
"HD 504154",5377,0.000509,"G8V",795.1,19.86
"TYC 2977-793-1",10497,23800.519267,"B5Ib",866.5,1.04
"WD 4052+311",23447,0.001415,"DA2",727.9,18.83
"HD 518978",8168,0.001903,"DA6",820.8,18.61
"HD 864809",3411,0.000156,"M1V",757.2,21.34
"HD 464617",9502,0.005332,"DA5",583.8,16.69
"HD 429398",3133,0.000162,"M6V",886.2,21.55
"TYC 2694-528-1",10658,143583.556808,"B5Ia",638.4,-1.63
"HD 711142",16792,1.687273,"B0V",974.8,11.58
"HD 405148",2695,0.000123,"M7V",843.7,21.47
"TYC 9722-222-1",22255,24048.428136,"B9Ib",831.4,0.94
"HIP 86255",3853,178.230082,"K8III",784.6,6.28
"HD 632461",18958,4.971733,"B0V",225.6,7.27
"HD 953744",5483,0.000776,"G1V",286.9,17.27
"HD 927517",9409,0.009526,"DA5",827.8,16.82
"HD 766537",5512,0.000362,"G0V",963.9,20.92
"HD 214734",27782,660.632726,"B3III",628.2,4.09
"HD 136414",3572,0.000061,"M7V",930.5,22
"HD 721193",2512,0.000119,"M9V",993.7,22
"HIP 51494",4579,113.944645,"K6III",699.2,6.4
"HD 692790",3317,0.000121,"M6V",947.3,22
"HD 266900",23740,377.81689,"B9III",160.1,1.55
"HD 771218",7469,0.005706,"F0V",987.8,17.88
"HD 601822",30751,28842.021504,"O2Ia",248,-1.68
"HD 137583",2839,0.000111,"M5V",779.7,21.66
"HD 414672",32096,34167.14526,"O9Ib",355.5,-1.29
"HD 859258",9389,0.006043,"DA5",652.9,16.99
"WD 6885+225",12879,0.000149,"DA3",577.1,20.59
"HD 768605",6940,0.002019,"F2V",539.5,17.45
"HD 183371",2881,0.000154,"M6V",591.6,20.76
"HIP 3952",3725,42.323967,"K4IV",393.1,6.19
"HIP 41280",3776,121.911766,"K2III",831.2,6.74
"HD 183673",2503,0.00021,"M9V",849.6,21.11
"HIP 103553",4616,133.355961,"K1III",712.9,6.19
"HD 956599",7235,0.002773,"F7V",731,18.1
"HIP 108416",4336,150.951507,"K9III",275.3,4.04
"HD 680043",17243,2.935484,"B2V",459.3,9.59
"HD 427779",15286,0.527536,"B2V",742,12.36
"HD 559615",2524,0.000123,"M3V",214,18.62
"HIP 58937",4999,314.564953,"K0III",936,5.81
"HD 501989",11423,0.034236,"B2V",689.6,15.12
"HD 552399",13401,0.228127,"B2V",640.1,13.13
"HD 353520",34857,532998.183657,"O3Ia",645.7,-3
"HD 651871",3614,0.000307,"M4V",729.2,20.31
"HD 848951",7049,0.00243,"F2V",888.3,18.56
"HD 726586",8579,0.006391,"DA5",949.5,17.81
"HD 692900",33940,176105.545148,"O6Ib",825.5,-1.16
"HD 154825",10006,0.020303,"B9V",852.7,16.31
"WD 9438+405",13633,0.002818,"DA3",841.7,18.16
"HD 309836",2544,0.000051,"M7V",965.7,22
"HD 538089",6450,0.001281,"F7V",293.6,16.94
"HD 981934",2706,0.000053,"M5V",570.8,21.66
"HD 382454",3992,0.000356,"K9V",72.4,15.11
"HD 967750",10695,0.01339,"B0V",592,15.81
"HD 480263",4162,0.00031,"K7V",755.1,20.31
"HD 526144",14436,0.375563,"B6V",434.8,11.58
"HD 138204",2539,0.000055,"M1V",836.9,22
"HD 975503",25420,1088.193702,"B1III",911.8,4.47
"HD 703003",4567,0.000893,"K7V",825.5,19.42
"HIP 75265",3300,510.939696,"M8III",955.2,5.37
"HD 307500",8848,0.002609,"DA5",516.7,17.41
"HD 459658",33417,137959.033914,"O8Ia",898.4,-0.77
"HD 191654",6056,0.000413,"F3V",499,19.21
"HD 554523",8554,0.002378,"DA5",495.4,17.4
"HD 624382",18604,9.915405,"B7V",664.6,8.78
"WD 8142+190",22949,0.003049,"DA2",581.6,17.39
"HD 115678",11407,0.033219,"B8V",893.7,15.65
"HIP 107130",3591,244.536832,"M2III",565.9,4.98
"WD 3705+933",24495,0.001089,"DA2",962.1,19.65
"HD 948778",27065,1139.030631,"B9III",824.5,4.28
"HD 745246",2582,0.00015,"M6V",570.8,20.64
"HD 817511",24505,319.657309,"B7III",630.3,4.91
"HD 255779",32517,47047.658663,"O7Ia",321.7,-2.06
"HD 238481",2728,0.000156,"M1V",835.3,21.47
"HD 715435",28673,2288.634378,"B2III",952.3,3.8
"HD 512598",4978,0.000722,"K0V",228.4,16.98
"HIP 77343",4152,567.449595,"K9III",458.7,3.87
"WD 3675+261",10891,0.000512,"DA4",598.5,19.34
"HIP 40052",4132,99.036648,"K0IV",902.1,6.87
"HIP 89895",4261,221.29448,"K1III",115.3,1.83
"HD 822880",7312,0.002809,"F5V",650.7,17.74
"HIP 89431",3868,176.178043,"K8III",931.2,6.49
"HIP 105590",4349,56.298096,"K7IV",717.7,7.17
"HD 691220",14332,0.354622,"B7V",999.9,13.39
"HD 276068",6012,0.002428,"F8V",704.9,17.98
"HD 549619",18931,3.903539,"B3V",264.4,7.87
"HD 166497",2537,0.000079,"M6V",773.8,22
"HD 791068",7224,0.000873,"F4V",952.9,19.75
"HD 690081",6869,0.002075,"F9V",175.9,15.22
"HD 668772",16765,0.995967,"B3V",959.5,12.16
"HD 102827",2638,0.000122,"M3V",372,19.87
"HD 527647",17198,1.034661,"B3V",928,11.94
"HD 107444",4417,0.000135,"K9V",773.9,21.39
"HD 284705",20390,4.652596,"B8V",369.5,8.49
"HD 639269",13800,0.101111,"B7V",633.6,13.74
"HD 918290",8648,0.008826,"DA5",734.1,16.85
"HD 169391",32194,51379.97215,"O0Ia",897.1,0.2
"HD 619200",32934,50486.792199,"O8Ia",871,0.2
"HD 656030",33468,126665.145313,"O6Ib",644.9,-1.42
"WD 7960+774",19456,0.00045,"DA2",685.2,19.78
"HD 794315",2910,0.000129,"M0V",645.6,21.05
"HD 662796",5369,0.000466,"G1V",471.9,18.99
"WD 5377+638",17301,0.000459,"DA2",524.8,19.28
"HD 290695",4263,0.000425,"K6V",737,20.04
"HD 781163",21583,37.219643,"B0IV",554.8,7.11
"WD 3580+218",24480,0.00063,"DA2",785.3,19.71
"HD 700762",31249,31438.891986,"O8Ib",932.7,0.68
"HD 961549",23257,104.760802,"B7III",925.5,6.93
"HD 126269",12558,0.057665,"B7V",863.1,14.79
"WD 1740+418",23693,0.000261,"DA2",959.5,21.13
"HD 885438",21023,36.280916,"B8IV",285,5.68
"HD 921276",21221,33.735269,"B2IV",697.3,7.85
"HD 354758",7077,0.002601,"F9V",993.6,18.63
"HD 193077",3505,0.00013,"M9V",987.2,21.77
"HD 578021",5434,0.000621,"G1V",933,20.23
"TYC 2995-366-1",24582,131734.236354,"B1Ia",839.6,-0.89
"HD 414404",2723,0.000108,"M4V",677.6,21.18
"HD 376738",2504,0.000096,"M5V",457.5,20.53
"HD 408921",17469,2.835421,"B7V",613.5,10.1
"HD 859470",11730,0.053337,"B1V",909.6,15.16
"TYC 3761-351-1",4217,23828.886269,"K5Ib",950.1,1.05
"HD 612349",22387,32.025793,"B6IV",523.3,7.01
"HD 835236",5010,0.000195,"K1V",963.7,21.33
"HD 799795",9521,0.012516,"A8V",78.8,11.57
"HD 482654",12976,0.093945,"B8V",582.5,13.51
"HD 807021",28952,5493.184127,"B6III",704.8,2.14
"HD 457962",2667,0.000084,"M4V",945.4,22
"HD 998645",4866,0.000352,"K5V",791.4,20.42
